"word1","word2","2009-2011","2012","2013","2014","2015","2016","2017","2018","2019"
"applied","big",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"data","scientists",NA,NA,0.289017341040462,0.445103857566766,0.355713650511338,0.206710128796311,0.146585004789411,0.185530167661483,0.170067128981657
"scientists","the",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"world","need",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"need","us",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"science","paradigms",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"the","rise",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"rise","of",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"of","column",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"column","based",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"based","data",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"data","stores",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"stores","part",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"is","your",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"your","a",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"a","b",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"b","testing",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"testing","effort",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"effort","just",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"just","chasing",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"chasing","statistical",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"statistical","ghosts",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"small","thoughts",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"of","analytics",NA,NA,NA,0.593471810089021,NA,NA,NA,NA,NA
"with","data",NA,NA,NA,0.593471810089021,0.133392618941752,0.0890443631737955,0.0928855475893298,0.0897236056723568,0.0818646117768846
"want","to",NA,NA,NA,0.445103857566766,NA,NA,NA,NA,NA
"analytics","projects",NA,NA,NA,0.445103857566766,NA,NA,NA,NA,NA
"data","at",NA,NA,NA,0.445103857566766,NA,NA,NA,NA,NA
"for","a",NA,NA,NA,0.29673590504451,NA,NA,0.0754695074163304,0.0615899327072957,NA
"science","in",NA,NA,NA,0.29673590504451,NA,NA,0.0696641606919973,NA,0.077639341491626
"so","you",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"you","want",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"to","be",NA,NA,NA,0.29673590504451,0.16303542315103,0.0763237398632533,0.0653101506487475,NA,NA
"be","a",NA,NA,NA,0.29673590504451,0.0889284126278346,NA,NA,NA,NA
"the","next",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"new","york",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"your","analytics",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"data","for",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"with","the",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"data","analysis",NA,NA,NA,0.29673590504451,0.207499629464947,0.181268882175227,0.150939014832661,0.155115386077634,0.227636436618305
"your","career",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"000","000",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"you","should",NA,NA,NA,0.29673590504451,0.103749814732474,0.0763237398632533,NA,NA,NA
"a","big",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"at","scale",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"dynamic","data",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"data","warehousing",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"warehousing","of",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"of","semi",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"semi","structured",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"structured","data",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"data","with",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"with","snowflake",NA,NA,NA,0.29673590504451,NA,NA,NA,NA,NA
"science","and",NA,NA,NA,0.148367952522255,0.148214021046391,0.108125298139609,0.121912281210995,0.104170626924685,0.0945404226326603
"and","adphorus",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"mining","it",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"it","ai",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"ai","nt",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
"nt","all",NA,NA,NA,0.148367952522255,NA,NA,NA,NA,NA
