NumOfClaps,NumOfComments,article,articleTags,articleURL,linkOfAuthorProfile,nameOfAuthor,postingTime,readingTime
2 claps,,Sensemaking,"Data Science,Big Data,Analytics",https://medium.com/making-sense/sensemaking-2a4de44b85b2?source=tag_archive---------1---------------------,https://medium.com/@mopatel,Mo Patel,"Sep 10, 2013",3 min read
,,Three Types of Buffers,"Supply Chain,Optimization,Data Science",https://medium.com/opex-analytics/three-types-of-buffers-d7f0800a01c4?source=tag_archive---------2---------------------,https://medium.com/@OpexAnalytics,Opex Analytics,"Oct 6, 2013", 
20 claps,,Nailing the Tech Interview,"Insight Data Science,Data Science",https://medium.com/@InsightData/nailing-the-tech-interview-a8b5c5a4fc2a?source=tag_archive---------0---------------------,https://medium.com/@InsightData,Insight,"Oct 10, 2013",7 min read
,,Lora Cecere on the Role of Analytics in the Supply Chain,"Supply Chain,Data Science,Machine Learning,Artificial Intelligence",https://medium.com/@OpexAnalytics/lora-cecere-on-the-role-of-analytics-in-the-supply-chain-c269d9d905f2?source=tag_archive---------3---------------------,https://medium.com/@OpexAnalytics,Opex Analytics,"Oct 10, 2013", 
,,Harnessing the combined power of SAP HANA and Graph Analytics for real-time insights,"Big Data,Data Sciences,Machine Learning",https://medium.quantiply.com/harnessing-the-combined-power-of-sap-hana-and-graph-analytics-for-real-time-insights-888d8126a43e?source=tag_archive---------8---------------------&gi=de14be1a4a49,https://medium.quantiply.com/@quantiply,Quantiply,"Nov 21, 2013", 
,,PARC and SAP Co-innovation: Adding Graph Analytics to SAP HANA,"Big Data,Data Sciences,Machine Learning",https://medium.quantiply.com/parc-and-sap-co-innovation-adding-graph-analytics-to-sap-hana-10bed41fb6dc?source=tag_archive---------9---------------------&gi=75a576d1a1da,https://medium.quantiply.com/@quantiply,Quantiply,"Nov 22, 2013",5 min read
,,Comment on “Is Big Data an Economic Big Dud?”,"Big Data,Data Science,Business,Analytics",https://medium.com/opex-analytics/comment-on-is-big-data-an-economic-big-dud-80f208be7d5a?source=tag_archive---------1---------------------,https://medium.com/@OpexAnalytics,Opex Analytics,"Oct 13, 2013",2 min read
7 claps,,ThisPlusThat: A Search Engine That Lets You ‘Add’ Words as Vectors,"Insight Data Science,Data Science",https://blog.insightdatascience.com/thisplusthat-me-a-search-engine-that-lets-you-add-words-as-vectors-2ec0b8a4f629?source=tag_archive---------2---------------------,https://blog.insightdatascience.com/@InsightData,Insight,"Nov 12, 2013",4 min read
3 claps,1,Reinventing Social Sciences in the Era of Big Data,"Technology,Social Science,Big Data,Data Science,Machine Learning",https://medium.com/i-love-experiments/reinventing-social-sciences-in-the-era-of-big-data-d255f3e391f3?source=tag_archive---------5---------------------,https://medium.com/@happybandits,Arjan Haring,"Nov 2, 2013",8 min read
4 claps,1,Why it’s the era of Data Science but not of the Data Scientist,"Data Science,Big Data,Nerd",https://medium.com/i-love-experiments/why-it-s-the-era-of-data-science-but-not-of-the-data-scientist-1acd76a3b53c?source=tag_archive---------4---------------------,https://medium.com/@happybandits,Arjan Haring,"Nov 22, 2013",4 min read
255 claps,3,New to Machine Learning? Avoid these three mistakes,"Machine Learning,Data Science,Artificial Intelligence",https://medium.com/@nomadic_mind/new-to-machine-learning-avoid-these-three-mistakes-73258b3848a4?source=tag_archive---------0---------------------,https://medium.com/@nomadic_mind,James Faghmous,"Nov 7, 2013",6 min read
1 clap,,On the Path to Personalization: Part 1,"Personalization,Data Science,Data Analysis,Dynamodb,Data",https://open.nytimes.com/on-the-path-to-personalization-part-1-877d32f6cc4a?source=tag_archive---------6---------------------&gi=d0a4d3e80a17,https://open.nytimes.com/@timesopen,The Times Open Team,"Nov 15, 2013",5 min read
1 clap,,The Golden Age of Social Science Has Begun,"Economics,Data Science",https://theumlaut.com/the-golden-age-of-social-science-has-begun-d7555098ac72?source=tag_archive---------7---------------------&gi=b4f1a8166049,https://theumlaut.com/@adamgurri,Adam Gurri,"Nov 4, 2013",4 min read
7 claps,,Inspector Git: Discover Awesome New Repositories on Github,"Insight Data Science,Data Science",https://blog.insightdatascience.com/inspector-git-discover-awesome-new-repositories-on-github-b4ab0011f211?source=tag_archive---------3---------------------,https://blog.insightdatascience.com/@InsightData,Insight,"Nov 21, 2013",5 min read
203 claps,1,"What I Learned From Analyzing 1,000 Medium Collections","Data Science,Data Visualization,Python",https://medium.com/@nomadic_mind/what-i-learned-from-analyzing-1-000-medium-collections-b99a56fbe0e2?source=tag_archive---------0---------------------,https://medium.com/@nomadic_mind,James Faghmous,"Dec 23, 2013",6 min read
,,Saving Money by Applying Data Science to Equipment Leasing,"Finance,Data Science,Analytics,Machine Learning",https://medium.com/opex-analytics/saving-money-by-applying-data-science-to-equipment-leasing-fdfb689aed00?source=tag_archive---------4---------------------,https://medium.com/@OpexAnalytics,Opex Analytics,"Dec 30, 2013",2 min read
1 clap,1,Netflix Presentation Videos from AWS Re:Invent 2013,"Availability,AWS,Data Science,Encoding,Netflixsecurity",https://medium.com/netflix-techblog/netflix-presentation-videos-from-aws-re-invent-2013-807532f84f90?source=tag_archive---------2---------------------,https://medium.com/@NetflixTechBlog,Netflix Technology Blog,"Dec 19, 2013", 
,,A chat about data science and our fun visualizations,"Engineering,Data Science,Foursquare",https://medium.com/foursquare-direct/a-chat-about-data-science-and-our-fun-visualizations-b2b4f19b97b8?source=tag_archive---------3---------------------,https://medium.com/@foursquareeng,4SQ Eng,"Dec 11, 2013", 
153 claps,,How to Make Medium the World’s Greatest “Collaborative Idea-Generation and Distribution” Platform,"Collaboration,Data Science,Data Visualization",https://medium.com/@nomadic_mind/how-to-make-medium-the-worlds-greatest-collaborative-idea-generation-and-distribution-platform-c666fcdc91a0?source=tag_archive---------1---------------------,https://medium.com/@nomadic_mind,James Faghmous,"Dec 23, 2013",10 min read
